buy_price,pnl,reason,sell_price,shares,ticker
187.6199951171875,-134303.30241394043,end,175.02000427246094,10659,NVDA
710.5599975585938,-62034.66778564453,ma200_break,666.469970703125,1407,META
673.4199829101562,-9824.07275390625,ma200_break,666.7999877929688,1484,META
245.35000610351562,390865.2349243164,end,309.2900085449219,6113,GOOGL
258.0199890136719,117771.43676757812,end,278.2799987792969,5813,AAPL
517.3499755859375,-112539.11276245117,end,478.5299987792969,2899,MSFT
429.8299865722656,33878.19567871094,end,458.9599914550781,1163,TSLA
